2020-04-28 13:04:244 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 13:04:916 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 13:04:87 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 13:04:478 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 13:04:603 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 13:04:666 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 13:04:884 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 13:04:40 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 13:04:212 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 13:04:462 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 13:04:728 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 13:04:822 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 13:04:431 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 13:04:806 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 13:04:572 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 13:04:23 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 13:04:368 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 13:04:786 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 13:04:50 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 13:04:301 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 13:04:576 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-28 13:04:311 INFO  HomePage :37 - clicking on login link[[ChromeDriver: chrome on WINDOWS (208601e3f7c752305565cf00c7f51003)] -> xpath: //a[@class='ico-login']]
2020-04-28 13:04:462 INFO  LoginPage :52 - verify Welcome TextWelcome, Please Sign In!displayed msg [[ChromeDriver: chrome on WINDOWS (208601e3f7c752305565cf00c7f51003)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2020-04-28 13:04:612 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-28 13:04:975 INFO  HomePage :37 - clicking on login link[[ChromeDriver: chrome on WINDOWS (0bc2d200f3fce4e4c262b3954f819f87)] -> xpath: //a[@class='ico-login']]
2020-04-28 13:04:681 INFO  LoginPage :37 - Enter email:ram444@yahoo.com to email filed [[ChromeDriver: chrome on WINDOWS (0bc2d200f3fce4e4c262b3954f819f87)] -> css selector: input#Email]
2020-04-28 13:04:991 INFO  LoginPage :42 - Enter Passwrodlondon4 to password field [[ChromeDriver: chrome on WINDOWS (0bc2d200f3fce4e4c262b3954f819f87)] -> css selector: input.password]
2020-04-28 13:04:693 INFO  LoginPage :47 - click on Login Submit BtnProxy element for: DefaultElementLocator 'By.cssSelector: input.button-1.login-button'
2020-04-28 13:04:841 INFO  AccountPage :24 - Verify text: My account is displayed on the Account Page [[ChromeDriver: chrome on WINDOWS (0bc2d200f3fce4e4c262b3954f819f87)] -> css selector: a.ico-account]
2020-04-28 13:04:876 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-28 13:04:615 INFO  HomePage :37 - clicking on login link[[ChromeDriver: chrome on WINDOWS (3f552be6788b83f06bffce40dc1b1c32)] -> xpath: //a[@class='ico-login']]
2020-04-28 13:04:07 INFO  LoginPage :37 - Enter email:ram444@yahoo.com to email filed [[ChromeDriver: chrome on WINDOWS (3f552be6788b83f06bffce40dc1b1c32)] -> css selector: input#Email]
2020-04-28 13:04:363 INFO  LoginPage :42 - Enter Passwrodlondon4 to password field [[ChromeDriver: chrome on WINDOWS (3f552be6788b83f06bffce40dc1b1c32)] -> css selector: input.password]
2020-04-28 13:04:750 INFO  LoginPage :47 - click on Login Submit BtnProxy element for: DefaultElementLocator 'By.cssSelector: input.button-1.login-button'
2020-04-28 13:04:871 INFO  AccountPage :24 - Verify text: My account is displayed on the Account Page [[ChromeDriver: chrome on WINDOWS (3f552be6788b83f06bffce40dc1b1c32)] -> css selector: a.ico-account]
2020-04-28 13:04:525 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-28 13:04:165 INFO  HomePage :37 - clicking on login link[[ChromeDriver: chrome on WINDOWS (a37a3ae246e01e1b0f4f1dac381c2253)] -> xpath: //a[@class='ico-login']]
2020-04-28 13:04:609 INFO  LoginPage :37 - Enter email:ram555@yahoo.com to email filed [[ChromeDriver: chrome on WINDOWS (a37a3ae246e01e1b0f4f1dac381c2253)] -> css selector: input#Email]
2020-04-28 13:04:845 INFO  LoginPage :42 - Enter Passwrodlondon5 to password field [[ChromeDriver: chrome on WINDOWS (a37a3ae246e01e1b0f4f1dac381c2253)] -> css selector: input.password]
2020-04-28 13:04:732 INFO  LoginPage :47 - click on Login Submit BtnProxy element for: DefaultElementLocator 'By.cssSelector: input.button-1.login-button'
2020-04-28 13:04:861 INFO  AccountPage :24 - Verify text: My account is displayed on the Account Page [[ChromeDriver: chrome on WINDOWS (a37a3ae246e01e1b0f4f1dac381c2253)] -> css selector: a.ico-account]
2020-04-28 13:04:389 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-28 13:04:562 INFO  HomePage :37 - clicking on login link[[ChromeDriver: chrome on WINDOWS (147b06b6f84aa3e6463a5bd33e308c2c)] -> xpath: //a[@class='ico-login']]
2020-04-28 13:04:897 INFO  LoginPage :37 - Enter email:xyz13@gmail.com to email filed [[ChromeDriver: chrome on WINDOWS (147b06b6f84aa3e6463a5bd33e308c2c)] -> css selector: input#Email]
2020-04-28 13:04:147 INFO  LoginPage :42 - Enter Passwrodabc123 to password field [[ChromeDriver: chrome on WINDOWS (147b06b6f84aa3e6463a5bd33e308c2c)] -> css selector: input.password]
2020-04-28 13:04:465 INFO  LoginPage :47 - click on Login Submit BtnProxy element for: DefaultElementLocator 'By.cssSelector: input.button-1.login-button'
2020-04-28 13:04:562 INFO  AccountPage :24 - Verify text: My account is displayed on the Account Page [[ChromeDriver: chrome on WINDOWS (147b06b6f84aa3e6463a5bd33e308c2c)] -> css selector: a.ico-account]
2020-04-28 13:04:551 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-28 13:04:129 INFO  HomePage :37 - clicking on login link[[ChromeDriver: chrome on WINDOWS (f571bf80bbdc2ea27beea2a4b88e1ed4)] -> xpath: //a[@class='ico-login']]
2020-04-28 13:04:617 INFO  LoginPage :37 - Enter email:xyz1@gmail.com to email filed [[ChromeDriver: chrome on WINDOWS (f571bf80bbdc2ea27beea2a4b88e1ed4)] -> css selector: input#Email]
2020-04-28 13:04:942 INFO  LoginPage :42 - Enter Passwrodabc1234 to password field [[ChromeDriver: chrome on WINDOWS (f571bf80bbdc2ea27beea2a4b88e1ed4)] -> css selector: input.password]
2020-04-28 13:04:456 INFO  LoginPage :47 - click on Login Submit BtnProxy element for: DefaultElementLocator 'By.cssSelector: input.button-1.login-button'
2020-04-28 13:04:569 INFO  AccountPage :24 - Verify text: My account is displayed on the Account Page [[ChromeDriver: chrome on WINDOWS (f571bf80bbdc2ea27beea2a4b88e1ed4)] -> css selector: a.ico-account]
2020-04-28 14:04:733 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-28 14:04:18 INFO  HomePage :37 - clicking on login link[[ChromeDriver: chrome on WINDOWS (61c706667872b50d8ca841401cb65fb3)] -> xpath: //a[@class='ico-login']]
2020-04-28 14:04:182 INFO  LoginPage :52 - verify Welcome TextWelcome, Please Sign In!displayed msg [[ChromeDriver: chrome on WINDOWS (61c706667872b50d8ca841401cb65fb3)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2020-04-28 14:04:309 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-28 14:04:129 INFO  HomePage :37 - clicking on login link[[ChromeDriver: chrome on WINDOWS (7bb09d72407acd8aa3de5d02fc949eb0)] -> xpath: //a[@class='ico-login']]
2020-04-28 14:04:457 INFO  LoginPage :37 - Enter email:ram444@yahoo.com to email filed [[ChromeDriver: chrome on WINDOWS (7bb09d72407acd8aa3de5d02fc949eb0)] -> css selector: input#Email]
2020-04-28 14:04:754 INFO  LoginPage :42 - Enter Passwrodlondon4 to password field [[ChromeDriver: chrome on WINDOWS (7bb09d72407acd8aa3de5d02fc949eb0)] -> css selector: input.password]
2020-04-28 14:04:87 INFO  LoginPage :47 - click on Login Submit BtnProxy element for: DefaultElementLocator 'By.cssSelector: input.button-1.login-button'
2020-04-28 14:04:197 INFO  AccountPage :24 - Verify text: My account is displayed on the Account Page [[ChromeDriver: chrome on WINDOWS (7bb09d72407acd8aa3de5d02fc949eb0)] -> css selector: a.ico-account]
2020-04-28 14:04:660 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-28 14:04:594 INFO  HomePage :37 - clicking on login link[[ChromeDriver: chrome on WINDOWS (4bc7009c05f466445756d4948bf2df64)] -> xpath: //a[@class='ico-login']]
2020-04-28 14:04:00 INFO  LoginPage :37 - Enter email:ram444@yahoo.com to email filed [[ChromeDriver: chrome on WINDOWS (4bc7009c05f466445756d4948bf2df64)] -> css selector: input#Email]
2020-04-28 14:04:250 INFO  LoginPage :42 - Enter Passwrodlondon4 to password field [[ChromeDriver: chrome on WINDOWS (4bc7009c05f466445756d4948bf2df64)] -> css selector: input.password]
2020-04-28 14:04:134 INFO  LoginPage :47 - click on Login Submit BtnProxy element for: DefaultElementLocator 'By.cssSelector: input.button-1.login-button'
2020-04-28 14:04:415 INFO  AccountPage :24 - Verify text: My account is displayed on the Account Page [[ChromeDriver: chrome on WINDOWS (4bc7009c05f466445756d4948bf2df64)] -> css selector: a.ico-account]
2020-04-28 14:04:39 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-28 14:04:98 INFO  HomePage :37 - clicking on login link[[ChromeDriver: chrome on WINDOWS (9996b3d919b2b6d14b07516d2bba0994)] -> xpath: //a[@class='ico-login']]
2020-04-28 14:04:401 INFO  LoginPage :37 - Enter email:ram555@yahoo.com to email filed [[ChromeDriver: chrome on WINDOWS (9996b3d919b2b6d14b07516d2bba0994)] -> css selector: input#Email]
2020-04-28 14:04:639 INFO  LoginPage :42 - Enter Passwrodlondon5 to password field [[ChromeDriver: chrome on WINDOWS (9996b3d919b2b6d14b07516d2bba0994)] -> css selector: input.password]
2020-04-28 14:04:914 INFO  LoginPage :47 - click on Login Submit BtnProxy element for: DefaultElementLocator 'By.cssSelector: input.button-1.login-button'
2020-04-28 14:04:195 INFO  AccountPage :24 - Verify text: My account is displayed on the Account Page [[ChromeDriver: chrome on WINDOWS (9996b3d919b2b6d14b07516d2bba0994)] -> css selector: a.ico-account]
2020-04-28 14:04:721 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-28 14:04:549 INFO  HomePage :37 - clicking on login link[[ChromeDriver: chrome on WINDOWS (95cd844654ca831b9552c65674995cb7)] -> xpath: //a[@class='ico-login']]
2020-04-28 14:04:764 INFO  LoginPage :37 - Enter email:xyz13@gmail.com to email filed [[ChromeDriver: chrome on WINDOWS (95cd844654ca831b9552c65674995cb7)] -> css selector: input#Email]
2020-04-28 14:04:990 INFO  LoginPage :42 - Enter Passwrodabc123 to password field [[ChromeDriver: chrome on WINDOWS (95cd844654ca831b9552c65674995cb7)] -> css selector: input.password]
2020-04-28 14:04:248 INFO  LoginPage :47 - click on Login Submit Btn[[ChromeDriver: chrome on WINDOWS (95cd844654ca831b9552c65674995cb7)] -> css selector: input.button-1.login-button]
2020-04-28 14:04:657 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-28 14:04:896 INFO  HomePage :37 - clicking on login link[[ChromeDriver: chrome on WINDOWS (05d926d6fa5d0f239b69ee55e433dad8)] -> xpath: //a[@class='ico-login']]
2020-04-28 14:04:207 INFO  LoginPage :37 - Enter email:xyz1@gmail.com to email filed [[ChromeDriver: chrome on WINDOWS (05d926d6fa5d0f239b69ee55e433dad8)] -> css selector: input#Email]
2020-04-28 14:04:476 INFO  LoginPage :42 - Enter Passwrodabc1234 to password field [[ChromeDriver: chrome on WINDOWS (05d926d6fa5d0f239b69ee55e433dad8)] -> css selector: input.password]
2020-04-28 14:04:791 INFO  LoginPage :47 - click on Login Submit BtnProxy element for: DefaultElementLocator 'By.cssSelector: input.button-1.login-button'
